experiment,foot,stance_distance_m,endpoint_gap_m,elevation_range_m,end_elevation_m,contacts,pair_rmse_m,pair_p95_m
baseline,left,197.53090257716724,8.367952909864528,1.6438131912897533,-0.6287338339533257,129,5.32430760042173,10.006995534638532
baseline,right,199.79109458461608,14.925468051906924,6.239347805696964,-6.15421092850456,130,5.32430760042173,10.006995534638532
v1_gravity_bias,left,197.6150795357824,2.614199112627393,1.7142360461519013,-1.377110679347033,129,1.122125701844074,2.2223512793877847
v1_gravity_bias,right,199.91211781285784,3.9112041076716784,5.917253680402674,-5.83233561138976,130,1.122125701844074,2.2223512793877847
sample_init,left,197.91851042375112,2.5808746941714165,0.40173471218644896,0.08535369700705467,129,1.4511122644038574,2.7925552571147203
sample_init,right,200.24110912842693,4.2399680826863655,4.532019989016295,-4.4549436853831255,130,1.4511122644038574,2.7925552571147203
sample_post,left,197.60742954421428,2.6151909487174225,1.7169826375503296,-1.380078290769295,129,1.1169318525490035,2.2251608178678643
sample_post,right,199.9009594609828,3.90976156447566,5.916749555811921,-5.83197139347783,130,1.1169318525490035,2.2251608178678643
sample_trapezoid,left,195.79385296634018,3.74692187288917,2.0842950723114257,-1.9534458016253538,129,1.8087878856268704,3.059205864040627
sample_trapezoid,right,198.22879596721396,2.3748959531494562,6.847340525426824,-6.77085578740321,130,1.8087878856268704,3.059205864040627
sample_init_trap_post,left,196.0809876245665,3.797891961073563,0.6309022521962415,-0.5001302671124686,129,1.2331465454322543,2.263192312660502
sample_init_trap_post,right,198.54752887363782,2.6619005611786135,5.4769619491570705,-5.404632155937032,130,1.2331465454322543,2.263192312660502
sample_init_trap_midbias,left,196.06225311175646,3.835113610191666,0.5755901094683923,-0.440301032564074,129,0.6620350308701611,1.1028293985441533
sample_init_trap_midbias,right,198.56668435293102,4.161167224411193,5.615533764631265,-5.543267986417779,130,0.6620350308701611,1.1028293985441533
sample_init_trap_meanbias,left,196.21084474636726,1.1776244644551406,1.2235302751567294,-1.1307027962560783,129,0.7473452762168729,1.3221988167467758
sample_init_trap_meanbias,right,198.92229176852152,1.6733175065549728,7.754632801631754,-7.683232352279186,130,0.7473452762168729,1.3221988167467758
stride_gravity,left,197.57652256805113,2.5612378976618104,0.23557220638480594,0.02802208071503793,129,0.9853287228386209,1.952371231219191
stride_gravity,right,200.16231495243818,3.5985594568384753,0.5543838598845209,-0.4697754353301373,130,0.9853287228386209,1.952371231219191
stride_after_bias,left,197.52456515077694,2.599182295035158,0.24433248988830228,0.03897069228200823,129,3.257362732436928,6.062537558730382
stride_after_bias,right,200.2313201440018,6.550773267953701,0.5704156510768952,-0.48645523112827077,130,3.257362732436928,6.062537558730382
stride_mid_bias,left,197.55053273738199,2.5801894619036925,0.23995329043332891,0.03349764551279108,129,2.080848860229787,3.949947899018403
stride_mid_bias,right,200.19680821024846,5.088795738056485,0.5624003746802717,-0.4781160619382873,130,2.080848860229787,3.949947899018403
stride_trapezoid,left,195.7610480493503,3.7503941924236455,0.36442650740632987,0.14847600800628827,129,1.8161267049378846,3.289832931946279
stride_trapezoid,right,198.51669994197925,1.9212375868042904,0.7747095768419209,-0.6985936386054244,130,1.8161267049378846,3.289832931946279
stride_trap_midbias,left,195.73486663354333,3.759225346113953,0.3689836722171359,0.15409274948683563,129,0.80964521012322,1.2881603149620942
stride_trap_midbias,right,198.55147297287894,3.374534734991571,0.7831068137189808,-0.7071194757195622,130,0.80964521012322,1.2881603149620942
