trial,rep,bout,distance_m,package,package_code,status,snip,start_s,stop_s,duration_s,measured_m,walker,distance_error_m
20,1,2,5.0,ring,1,WALKTHOUGH,39.0,2512.336121,2525.843109,13.506988000000092,4.724911334557823,left_foot_b,-0.27508866544217714
21,1,1,8.0,large,4,,40.0,2588.375074,2594.126137,5.751063000000158,7.177959136717095,right_foot_a,-0.822040863282905
21,1,2,8.0,large,4,,41.0,2609.959142,2618.156075,8.196932999999717,7.610642502900846,right_foot_b,-0.38935749709915424
22,1,1,12.0,large,4,LATE ON END EVENT,42.0,2716.625108,2727.970149,11.345041000000037,11.022646500471684,left_foot_a,-0.9773534995283164
22,1,2,12.0,large,4,LATE ON END EVENT,43.0,2745.536191,2764.572111,19.035919999999805,11.956162656248544,right_foot_b,-0.04383734375145565
23,1,1,2.5,ring,1,,44.0,2833.022102,2837.028103,4.006001000000197,2.6822744371072793,right_foot_a,0.1822744371072793
23,1,2,2.5,ring,1,,45.0,2844.697123,2849.724165,5.027042000000165,4.856452763539084,left_foot_b,2.3564527635390844
24,1,1,12.0,small,2,,46.0,2888.419159,2897.445204,9.026045000000067,11.01224093737476,right_foot_a,-0.9877590626252406
24,1,2,12.0,small,2,,47.0,2920.196211,2935.01314,14.816929000000073,11.381528998357208,right_foot_b,-0.6184710016427921
25,1,1,2.5,small,2,DID NOT PAUSE FIRST PARTICIPANT,48.0,2962.98012,2965.891122,2.911001999999826,2.1704165025637217,left_foot_a,-0.32958349743627835
25,1,2,2.5,small,2,DID NOT PAUSE FIRST PARTICIPANT,49.0,2980.917239,2986.073128,5.155889000000116,3.8379825114768513,left_foot_b,1.3379825114768513
26,1,1,8.0,ring,1,,50.0,3027.142225,3039.121227,11.979002000000037,7.751167499459682,right_foot_a,-0.2488325005403178
26,1,2,8.0,ring,1,,51.0,3046.160153,3054.58219,8.422037000000273,9.272867470670436,left_foot_b,1.2728674706704357
27,1,1,8.0,medium,3,,52.0,3096.682136,3104.295162,7.613025999999991,8.504717661732606,right_foot_a,0.5047176617326059
27,1,2,8.0,medium,3,,53.0,3117.171164,3125.967163,8.795998999999938,7.853280543927449,right_foot_b,-0.14671945607255132
28,1,1,5.0,small,2,,54.0,3184.248254,3188.800195,4.551940999999715,4.345962914815174,left_foot_a,-0.6540370851848261
28,1,2,5.0,small,2,,55.0,3199.507242,3205.906174,6.398932000000059,5.598776125021239,left_foot_b,0.5987761250212387
29,1,1,8.0,ring,1,ONE ARM HOLDING OUT BOTH PARTICIPANTS,,,,,,,
29,1,2,8.0,ring,1,ONE ARM HOLDING OUT BOTH PARTICIPANTS,56.0,3251.196206,3257.197161,6.000954999999976,7.199050509534309,right_foot_a,-0.8009494904656913
30,1,1,5.0,ring,1,,57.0,3306.824191,3313.64823,6.82403899999963,4.681258581360986,right_foot_a,-0.3187414186390143
30,1,2,5.0,ring,1,,58.0,3321.825223,3327.804191,5.97896800000035,4.904181224373689,right_foot_b,-0.09581877562631114
31,1,1,2.5,ring,1,,59.0,3354.550173,3360.662177,6.11200400000007,1.8712102332512663,right_foot_a,-0.6287897667487337
31,1,2,2.5,ring,1,,60.0,3366.453198,3371.38724,4.934041999999863,4.262904887011132,left_foot_a,1.762904887011132
32,1,1,5.0,medium,3,,61.0,3415.406206,3420.66324,5.257033999999749,4.657101350474095,right_foot_a,-0.342898649525905
32,1,2,5.0,medium,3,,62.0,3431.20027,3440.041233,8.840963000000102,5.052432434396355,left_foot_b,0.05243243439635492
33,1,1,12.0,ring,1,,63.0,3483.555248,3494.139303,10.584054999999807,11.299993580044585,right_foot_a,-0.7000064199554146
33,1,2,12.0,ring,1,,64.0,3507.448191,3517.533196,10.08500499999991,11.928376545206303,right_foot_b,-0.0716234547936967
34,1,1,2.5,small,2,,65.0,3568.491305,3573.281249,4.789944000000105,1.785828763452539,right_foot_a,-0.7141712365474611
34,1,2,2.5,small,2,,66.0,3582.612252,3588.5523,5.940047999999933,4.175593869018576,right_foot_a,1.6755938690185763
35,1,1,8.0,medium,3,,67.0,3634.974236,3642.973238,7.999002000000019,7.440791418366747,right_foot_a,-0.5592085816332526
35,1,2,8.0,medium,3,,68.0,3657.128238,3664.898316,7.770078000000012,7.7729697950817584,right_foot_b,-0.22703020491824155
36,1,1,8.0,large,4,,69.0,3709.744222,3717.231273,7.487051000000065,7.3715319254652645,right_foot_a,-0.6284680745347355
36,1,2,8.0,large,4,,70.0,3729.412229,3736.56628,7.154050999999981,7.635173338707286,left_foot_b,-0.3648266612927138
37,1,1,12.0,medium,3,,,,,,,,
37,1,2,12.0,medium,3,,,,,,,,
38,1,1,12.0,ring,1,ONE ARM HOLDING OUT BOTH PARTICIPANTS,,,,,,,
38,1,2,12.0,ring,1,ONE ARM HOLDING OUT BOTH PARTICIPANTS,71.0,3815.383262,3824.201242,8.817980000000261,11.398675409318923,right_foot_a,-0.6013245906810774
39,1,1,12.0,small,2,,72.0,3842.037241,3859.952245,17.915003999999954,11.570461417921418,right_foot_b,-0.42953858207858175
39,1,2,12.0,small,2,,73.0,3918.227301,3935.74435,17.517049000000043,11.041321067499942,right_foot_a,-0.9586789325000584
40,1,1,12.0,ring,1,MESSED UP END/ START HERE. DOUBLE CLICKS,74.0,4019.426349,4030.686731,11.260381999999936,11.797828636350225,right_foot_b,-0.20217136364977506
