trial,bout,subject,condition,start_idx,end_idx,duration_s,n_strides_left,n_strides_right,dist_left_m,dist_right_m,dist_m,stride_speed_mps,stride_speed_std
40,1,s2,A_holds_box_walks_second,359778,360692,9.14,6,8,6.496337980768056,7.020055590962732,6.758196785865394,0.8355627422173227,0.4947209740820696
40,2,s1,A_holds_box_walks_second,362069,363141,10.72,4,5,7.379130594509958,7.321861889268399,7.350496241889179,1.1297306254898674,0.626600813813136
41,1,s2,A_holds_box_walks_second,367301,367968,6.67,3,1,0.49374084482027775,2.1824834923191876,1.3381121685697326,0.2898017042063327,0.37765073371174884
41,2,s1,A_holds_box_walks_second,368877,369681,8.040000000000001,2,1,1.5646153255607196,2.9670854083989986,2.2658503669798593,0.2366717437169231,0.3337189457792989
42,1,s2,A_holds_box_walks_second,372375,372974,5.99,1,1,1.3188008768442727,1.8118716972730773,1.565336287058675,0.0006672870110220482,0.0005170787275900503
42,2,s1,A_holds_box_walks_second,374644,375495,8.51,2,1,1.683601000735719,2.0241563191437137,1.8538786599397163,0.2462892573554861,0.3356067018185193
43,1,s2,A_holds_box_walks_second,378710,379687,9.77,5,8,6.659006298737303,7.267683757598098,6.9633450281677005,0.9110814909314722,0.5296850974168258
43,2,s1,A_holds_box_walks_second,381263,382303,10.4,5,5,7.39244664161081,8.124853259074156,7.758649950342483,1.0178638402395683,0.4787629144708956
44,1,s2,A_holds_box_walks_second,384982,386305,13.23,8,9,10.467276670919423,10.40206582091433,10.434671245916878,1.0645849884089544,0.4256482978704929
44,2,s1,A_holds_box_walks_second,387913,389216,13.030000000000001,7,7,10.588300665778243,10.692687280406597,10.64049397309242,1.0718654935503404,0.45795972801218665
45,1,s2,A_holds_box_walks_second,393608,394112,5.04,4,3,4.021522171501986,4.117535860416371,4.069529015959178,0.7457970015695687,0.5095452064357844
45,2,s1,A_holds_box_walks_second,395341,396161,8.2,3,2,4.380242089605994,4.6152239580543295,4.497733023830161,0.7183807533360675,0.5932900989283452
46,1,s2,A_holds_box_walks_second,399848,400510,6.62,1,1,1.0410199085708451,2.4314873945097064,1.7362536515402758,0.0023827969970668904,0.0016298389760488119
46,2,s1,A_holds_box_walks_second,401392,402212,8.2,2,2,1.733492994295348,1.9137280843230253,1.8236105393091866,0.22258207073361183,0.2873424148094142
47,1,s2,A_holds_box_walks_second,404796,405742,9.46,3,3,0.6674228733651976,3.8039427969990656,2.2356828351821316,0.8481377093764633,0.4854139601599434
47,2,s1,A_holds_box_walks_second,406561,407727,11.66,3,2,5.588862431577228,4.057771298614186,4.823316865095707,0.8212408190330995,0.16929729300573587
48,1,s2,A_holds_box_walks_second,412549,413558,10.09,10,7,10.548584745529963,10.556160461324131,10.552372603427047,1.062608198248535,0.5005430835456446
48,2,s1,A_holds_box_walks_second,422256,423423,11.67,7,9,10.729396792375113,10.757564719820268,10.74348075609769,1.0316104363769079,0.46521965412493527
49,1,s1,B_holds_box_walks_second,455645,456402,7.57,5,4,7.4279463720778285,7.193236234100061,7.310591303088945,1.080445315507439,0.5838534018115662
49,2,s2,B_holds_box_walks_second,457914,458986,10.72,5,6,6.7380549319271505,6.960656117122577,6.849355524524864,0.9694963559968375,0.465482124415974
50,1,s1,B_holds_box_walks_second,466928,468220,12.92,6,7,11.132756696707899,10.834262375184837,10.983509535946368,1.2605515541563461,0.5447597847904294
50,2,s2,B_holds_box_walks_second,471467,472696,12.290000000000001,8,8,10.160173728722832,10.45649407047256,10.308333899597695,1.125748913470197,0.45115322314402995
51,1,s1,B_holds_box_walks_second,476667,477581,9.14,3,2,4.102272981147225,4.212375974074079,4.157324477610652,0.7323349283643225,0.5993268550442811
51,2,s2,B_holds_box_walks_second,479094,479976,8.82,3,3,3.5256410742243367,3.8566929028612846,3.6911669885428107,0.8216528101102066,0.5837446913525162
52,1,s1,B_holds_box_walks_second,483380,484231,8.51,2,2,2.085182392704625,2.378160703981857,2.231671548343241,0.4232984616937868,0.3203850840483793
52,2,s2,B_holds_box_walks_second,484987,485618,6.3100000000000005,1,2,0.9068317645571108,1.9976581525844714,1.452244958570791,0.25520403393648533,0.3604790366911896
53,1,s1,B_holds_box_walks_second,487877,488413,5.36,2,3,2.012863151627405,1.802833898150847,1.907848524889126,0.35061586298176867,0.3086023060981655
