trial,bout,subject,distance_m,package,handoff,n_strides,n_steps,walk_s,cadence_spm,max_step_speed_mps,mean_step_speed_mps,step_speed_std,step_len_m,step_width_m,anchor_drift_s,net_dist_m
25,1,s2,8.0,5,waist,14,13,8.49,91.9,1.26,0.982,0.369,0.572,0.284,1.58,7.38
25,2,s1,8.0,5,waist,3,1,2.95,20.3,0.004,0.004,0.0,0.59,-0.039,inf,0.27
26,1,s2,5.0,15,ground,8,8,7.28,65.9,1.369,0.835,0.497,0.518,-0.031,1.49,3.87
26,2,s1,5.0,15,ground,7,6,8.49,42.4,1.173,0.892,0.411,0.55,-0.159,1.78,4.07
27,1,s2,12.0,5,waist,20,19,11.4,100.0,1.391,1.072,0.344,0.572,0.382,2.14,10.73
27,2,s1,12.0,5,waist,16,16,11.89,80.7,1.499,1.126,0.462,0.688,0.298,1.73,10.95
28,1,s2,12.0,10,waist,20,18,11.49,94.0,1.53,1.117,0.352,0.563,0.402,1.65,10.79
28,2,s1,12.0,10,waist,17,15,10.02,89.8,1.672,1.219,0.327,0.727,0.37,2.13,10.89
29,1,s2,2.5,15,ground,5,4,3.97,60.5,1.071,0.478,0.385,0.375,0.243,2.33,1.55
29,2,s1,2.5,15,ground,2,4,7.04,34.1,0.962,0.373,0.402,0.611,0.859,3.94,2.06
30,1,s2,12.0,0,waist,20,19,10.44,109.2,1.421,1.128,0.274,0.57,0.355,1.64,10.87
30,2,s1,12.0,0,waist,18,17,14.62,69.8,1.474,0.995,0.444,0.618,0.838,3.06,10.84
31,1,s2,5.0,10,waist,6,7,7.87,53.4,1.187,0.813,0.43,0.506,0.3,2.28,4.2
31,2,s1,5.0,10,waist,7,8,14.01,34.3,1.235,0.593,0.46,0.411,0.588,8.77,4.86
32,1,s2,2.5,0,waist,7,5,3.8,78.9,0.844,0.602,0.206,0.393,0.269,1.9,1.86
32,2,s1,2.5,0,waist,7,5,3.92,76.5,0.917,0.685,0.188,0.442,0.223,1.68,2.17
33,1,s2,12.0,15,held out,16,16,12.82,74.9,1.682,1.15,0.41,0.648,0.677,3.13,10.34
33,2,s1,12.0,15,held out,14,15,11.45,78.6,1.766,1.134,0.556,0.716,0.478,2.58,10.67
34,1,s2,8.0,5,held out,12,11,8.08,81.7,1.338,1.075,0.361,0.572,0.284,1.55,7.04
34,2,s1,8.0,5,held out,12,11,8.41,78.5,1.373,1.028,0.448,0.636,0.298,2.54,6.98
35,1,s2,8.0,0,ground,12,11,8.16,80.9,1.711,1.099,0.4,0.572,0.275,1.53,7.07
35,2,s1,8.0,0,ground,12,12,9.82,73.3,1.282,0.88,0.421,0.607,0.224,1.58,7.29
36,1,s2,12.0,5,ground,17,18,11.36,95.1,1.487,1.157,0.31,0.599,0.307,1.56,10.75
